cpanel	DOMAIN_NAMES_SETTINGS	DELEGATED_ADMIN	DASHER 207535951991	340,527
cpanel	BILLING	DELEGATED_ADMIN	DASHER 207535951991	256,977
cpanel	SECURITY_SETTINGS	DELEGATED_ADMIN	DASHER 207535951991	63,494
cpanel	SUPER_USER	DELEGATED_ADMIN	DASHER 207535951991	53,601
cpanel	ADMIN_SERVICE_SETTINGS	DELEGATED_ADMIN	DASHER 207535951991	889
cpanel	VIEW_ORGANIZATIONS	DELEGATED_ADMIN	DASHER 207535951991	502
cpanel	ADVANCED_TOOLS_RAFT	DELEGATED_ADMIN	DASHER 207535951991	474
cpanel	GENERAL_DOMAIN_SETTINGS	DELEGATED_ADMIN	DASHER 207535951991	21
cpanel	ADMIN_REPORTING	DOMAIN_ADMIN	DASHER 207535951991	358,828,175
cpanel	BILLING_READ	DOMAIN_ADMIN	DASHER 207535951991	97,872,331
cpanel	EDIT_SERVICES	DOMAIN_ADMIN	DASHER 207535951991	11,882,340
cpanel	BILLING	DOMAIN_ADMIN	DASHER 207535951991	8,532,173
cpanel	SUPER_USER	DOMAIN_ADMIN	DASHER 207535951991	5,391,107
cpanel	ROOT_APP_ADMIN	DOMAIN_ADMIN	DASHER 207535951991	1,353,829
cpanel	ADMIN_SUPPORT	DOMAIN_ADMIN	DASHER 207535951991	1,192,706
cpanel	SECURITY_SETTINGS	DOMAIN_ADMIN	DASHER 207535951991	449,997
cpanel	SECURITY_SETTINGS_READ	DOMAIN_ADMIN	DASHER 207535951991	188,770
cpanel	ADMIN_DOMAIN_SETTINGS	DOMAIN_ADMIN	DASHER 207535951991	122,988
cpanel	ADMIN_SERVICE_SETTINGS	DOMAIN_ADMIN	DASHER 207535951991	110,606
cpanel	VIEW_ORGANIZATIONS	DOMAIN_ADMIN	DASHER 207535951991	63,116
cpanel	ADVANCED_TOOLS_RAFT	DOMAIN_ADMIN	DASHER 207535951991	41,777
cpanel	GENERAL_DOMAIN_SETTINGS	DOMAIN_ADMIN	DASHER 207535951991	1,375
cpanel	DOMAIN_APPEARANCE_SETTINGS_READ	DOMAIN_ADMIN	DASHER 207535951991	18
cpanel	DOMAIN_USER_SETTINGS	DOMAIN_ADMIN	DASHER 207535951991	18
cpanel	BILLING_AND_ACCOUNT_INFORMATION	DOMAIN_ADMIN	DASHER 207535951991	17
cpanel	DOMAIN_NAMES_SETTINGS	DOMAIN_ADMIN	DASHER 207535951991	16
cpanel	CHANGE_SERVICE_URL	DOMAIN_ADMIN	DASHER 207535951991	15
cpanel	GENERAL_DOMAIN_SETTINGS_READ	DOMAIN_ADMIN	DASHER 207535951991	14
cpanel	APP_ADMIN	DOMAIN_ADMIN	DASHER 207535951991	10
cpanel	ADMIN_REPORTING	RESELLER	DASHER 207535951991	646,570
cpanel	EDIT_SERVICES	RESELLER	DASHER 207535951991	513,944
cpanel	SUPER_USER	RESELLER	DASHER 207535951991	356,778
cpanel	SECURITY_SETTINGS_READ	RESELLER	DASHER 207535951991	337,834
cpanel	DOMAIN_USER_SETTINGS	RESELLER	DASHER 207535951991	335,287
cpanel	GENERAL_DOMAIN_SETTINGS_READ	RESELLER	DASHER 207535951991	335,279
cpanel	CHANGE_SERVICE_URL	RESELLER	DASHER 207535951991	335,275
cpanel	DOMAIN_NAMES_SETTINGS	RESELLER	DASHER 207535951991	335,263
cpanel	DOMAIN_APPEARANCE_SETTINGS_READ	RESELLER	DASHER 207535951991	335,262
cpanel	ADMIN_SUPPORT	RESELLER	DASHER 207535951991	335,247
cpanel	BILLING_READ	RESELLER	DASHER 207535951991	143,067
cpanel	VIEW_ORGANIZATIONS	RESELLER	DASHER 207535951991	17,161
cpanel	BILLING	RESELLER	DASHER 207535951991	13,912
cpanel	SECURITY_SETTINGS	RESELLER	DASHER 207535951991	8,076
cpanel	GENERAL_DOMAIN_SETTINGS	RESELLER	DASHER 207535951991	12
cpanel	BILLING_READ	ROBOT_ACCOUNT	DASHER 207535951991	129,987,355
cpanel	SECURITY_SETTINGS	ROBOT_ACCOUNT	DASHER 207535951991	107,683,674
cpanel	ADMIN_REPORTING	ROBOT_ACCOUNT	DASHER 207535951991	4,727,456
cpanel	BILLING	ROBOT_ACCOUNT	DASHER 207535951991	2,691,738
cpanel	ADMIN_REPORTING	SUPPORT_USER	DASHER 207535951991	1,078,269
cpanel	EDIT_SERVICES	SUPPORT_USER	DASHER 207535951991	723,255
cpanel	SECURITY_SETTINGS_READ	SUPPORT_USER	DASHER 207535951991	507,273
cpanel	ADMIN_DOMAIN_SETTINGS	SUPPORT_USER	DASHER 207535951991	500,147
cpanel	BILLING_AND_ACCOUNT_INFORMATION	SUPPORT_USER	DASHER 207535951991	500,138
cpanel	BILLING_READ	SUPPORT_USER	DASHER 207535951991	481,257
cpanel	SECURITY_SETTINGS	SUPPORT_USER	DASHER 207535951991	16,430
cpanel	VIEW_ORGANIZATIONS	SUPPORT_USER	DASHER 207535951991	4,843
cpanel	ADVANCED_TOOLS_RAFT	SUPPORT_USER	DASHER 207535951991	1,412
dasher_services	GROUPS_RETRIEVE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	109,673,908
dasher_services	USERS_RETRIEVE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	99,755,643
dasher_services	ORGS_RETRIEVE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	12,533,966
dasher_services	GROUPS_UPDATE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	12,299,817
dasher_services	APPS_SECURITY_3LO_RETRIEVE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	12,046,626
dasher_services	USERS_RENAME_USER	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	11,631,469
dasher_services	USERS_RESET_PASSWORD_USER	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	4,537,157
dasher_services	USERS_CREATE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	4,039,063
dasher_services	ROOT_APP_ADMIN	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	3,963,338
dasher_services	USERS_UPDATE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	2,993,854
dasher_services	USERS_ADD_NICKNAME_USER	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	2,844,842
dasher_services	USERS_SUSPEND_USER	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	2,499,186
dasher_services	APPS_SECURITY_ASP_RETRIEVE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	2,070,673
dasher_services	USERS_MOVE_USER	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	1,985,050
dasher_services	USERS_FORCE_PASSWORD_CHANGE_USER	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	1,777,613
dasher_services	USERS_DELETE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	1,540,572
dasher_services	APP_ACCESS_MANAGEMENT	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	948,046
dasher_services	APPS_SECURITY_2SV_BACKUP_CODES_RETRIEVE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	800,875
dasher_services	APPS_SECURITY_2SV_BACKUP_CODES_UPDATE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	533,022
dasher_services	APPS_SECURITY_3LO_DELETE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	522,438
dasher_services	APPS_SECURITY_LOGIN_CHALLENGE_UNBLOCK	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	520,362
dasher_services	APPS_SECURITY_RESET_USER_SESSIONS	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	487,773
dasher_services	APPS_SECURITY_DELETE_SECURITY_KEYS	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	482,371
dasher_services	APPS_SECURITY_MANAGE_SECURITY_KEYS	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	479,042
dasher_services	APPS_SECURITY_ASP_DELETE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	477,701
dasher_services	DATATRANSFER_RETRIEVE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	429,991
dasher_services	GROUPS_CREATE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	423,373
dasher_services	DOMAIN_MANAGEMENT_READ	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	274,515
dasher_services	SCHEMA_RETRIEVE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	249,008
dasher_services	RETRIEVE_ROLES	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	239,290
dasher_services	DATATRANSFER_CREATE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	227,336
dasher_services	ORGS_DELETE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	131,091
dasher_services	APPS_SECURITY_RETRIEVE_SECURITY_KEYS	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	116,945
dasher_services	CUSTOMER_TAKEOUT_API_READ	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	99,570
dasher_services	DOMAIN_REGISTRATION_MANAGEMENT	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	70,037
dasher_services	ORGS_RETRIEVE_PRIVILEGE_GROUP	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	34,725
dasher_services	ORGS_CREATE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	26,264
dasher_services	GROUPS_DELETE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	23,481
dasher_services	APPS_SECURITY_2SV_STATUS	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	19,520
dasher_services	USER_INVITE_MANAGEMENT	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	14,803
dasher_services	SCHEMA_MANAGEMENT	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	9,871
dasher_services	ORGS_UPDATE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	8,216
dasher_services	DELETE_CONSUMER_CONVERSION	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	7,997
dasher_services	DOMAIN_MANAGEMENT	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	7,409
dasher_services	DATATRANSFER_API_PRIVILEGE_GROUP	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	3,712
dasher_services	MANAGE_ROLE_ASSIGNMENTS	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	3,306
dasher_services	USERS_UNDELETE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	2,208
dasher_services	MANAGE_TWO_STEP_VERIFICATION_POLICY	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	1,771
dasher_services	SAML2_SERVICE_PROVIDER	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	1,452
dasher_services	CS_RETRIEVE_CERTIFICATE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	946
dasher_services	READ_LONGRUNNING_OPERATION_STATUS	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	841
dasher_services	USERS_CHANGE_ADMIN_STATUS	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	689
dasher_services	THIRD_PARTY_USER_IMPERSONATION_SETTINGS_PROTO	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	487
dasher_services	INSIGHT_CARDS_READ	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	151
dasher_services	CS_GENERATE_CERTIFICATE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	130
dasher_services	MANAGE_ROLES	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	121
dasher_services	UPGRADE_CONSUMER_CONVERSION	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	111
dasher_services	GENERATE_EPIN	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	29
dasher_services	LDAP_MANAGEMENT_READ	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	24
dasher_services	LDAP_MANAGEMENT_CREATE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	8
dasher_services	ACCEPT_DAR_INVITE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	7
dasher_services	CUSTOMER_TAKEOUT_API_WRITE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	6
